# Session ID: 20250816_124609
# Start Time: 1755341169409
# Device ID: watch_2
# Sample Count: 2875
# Generated by Watch IMU Recorder
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,watch_name
26234787274264,0.10767702,-0.23868406,9.75135,-0.0029016077,-0.00641408,-0.0010690134,-630.78754,-239.45625,-603.91876,watch_2
26234806897232,0.11246266,-0.20997019,9.794421,-0.0029016077,-0.00641408,-0.0010690134,-630.78754,-239.45625,-603.91876,watch_2
26234826550253,0.12203395,-0.20997019,9.75135,-0.0029016077,-0.00641408,-0.0010690134,-630.78754,-239.45625,-603.91876,watch_2
26234846173222,0.1268196,-0.20518455,9.789636,-0.0029016077,-0.00641408,-0.0010690134,-630.78754,-239.45625,-603.91876,watch_2
26234865294576,0.1268196,-0.20518455,9.789636,-0.0029016077,-0.00641408,-0.0010690134,-633.28125,-238.25626,-609.2625,watch_2
26234865826243,0.12203395,-0.2434697,9.741779,-0.0029016077,-0.00641408,-0.0010690134,-633.86255,-236.94376,-608.4375,watch_2
26234860711139,0.12203395,-0.2434697,9.741779,-0.0029016077,0.0033597562,0.0001527162,-631.3688,-237.33751,-607.6875,watch_2
26234885294472,0.12203395,-0.2434697,9.741779,-0.0029016077,0.0033597562,0.0001527162,-631.3688,-237.33751,-607.6875,watch_2
26234875294524,0.12203395,-0.2434697,9.741779,-0.0029016077,0.0033597562,0.0001527162,-631.3688,-237.33751,-607.6875,watch_2
26234895294420,0.12203395,-0.2434697,9.741779,-0.0029016077,0.0033597562,0.0001527162,-632.23126,-237.33751,-606.6188,watch_2
26234885449264,0.09810573,-0.22911277,9.775279,0.00076358096,0.0033597562,0.0001527162,-632.23126,-237.33751,-606.6188,watch_2
26234880334159,0.09810573,-0.22911277,9.775279,0.00076358096,0.0033597562,0.0001527162,-632.23126,-237.33751,-606.6188,watch_2
26234905294368,0.09810573,-0.22911277,9.775279,0.00076358096,0.0033597562,0.0001527162,-633.30005,-237.46877,-606.73126,watch_2
