# Session ID: 20250816_085346
# Device ID: watch_1
# Start Time: 1755327226194
# Sample Count: 2141
# Generated by Watch IMU Recorder
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,watch_name
12301940812796,1.7036897,3.5210385,9.061021,-0.0012217296,0.0030543238,-0.010231985,92.3625,87.5625,111.168755,watch_1
12301959882431,1.7036897,3.6167514,9.151948,-0.0012217296,0.0030543238,-0.010231985,92.3625,87.5625,111.168755,watch_1
12301978952066,1.7467605,3.434897,9.022736,-0.0012217296,0.0030543238,-0.010231985,92.3625,87.5625,111.168755,watch_1
12301998041702,1.6941184,3.377469,9.003593,-0.0012217296,0.0030543238,-0.010231985,92.3625,87.5625,111.168755,watch_1
12301993078941,1.6941184,3.377469,9.003593,0.012217295,0.048258316,-0.040775225,92.3625,87.5625,111.168755,watch_1
12302025664202,1.6941184,3.377469,9.003593,0.012217295,0.048258316,-0.040775225,95.86875,67.36875,98.7375,watch_1
12302035664150,1.6941184,3.377469,9.003593,0.012217295,0.048258316,-0.040775225,95.86875,67.36875,98.7375,watch_1
12302017084723,1.5984055,3.3343983,9.166306,0.012217295,0.048258316,-0.040775225,95.86875,67.36875,98.7375,watch_1
12302012121962,1.5984055,3.3343983,9.166306,0.074525505,0.037262753,-0.038331766,95.86875,67.36875,98.7375,watch_1
12302031194931,1.5984055,3.3343983,9.166306,0.09651663,0.022601997,-0.039553493,96.65626,69.4875,96.8625,watch_1
12302045664098,1.5984055,3.3343983,9.166306,0.09651663,0.022601997,-0.039553493,96.65626,69.4875,96.8625,watch_1
12302036157691,1.6127625,3.3870404,9.175877,0.09651663,0.022601997,-0.039553493,96.65626,69.4875,96.8625,watch_1
12302055664046,1.6127625,3.3870404,9.175877,0.09651663,0.022601997,-0.039553493,94.875,68.287506,96.4875,watch_1
12302050268941,1.6319051,3.5736806,9.233304,0.047647454,0.010384701,-0.033444848,94.875,68.287506,96.4875,watch_1
12302055231702,1.6319051,3.5736806,9.233304,0.047647454,0.010384701,-0.033444848,94.875,68.287506,96.4875,watch_1
12302065663993,1.6319051,3.5736806,9.233304,0.047647454,0.010384701,-0.033444848,95.86875,66.262505,97.668755,watch_1
12302075663941,1.6319051,3.5736806,9.233304,0.047647454,0.010384701,-0.033444848,96.18751,69.3,96.693756,watch_1
12302074304723,1.6797615,3.635894,9.151948,-0.02443459,-0.0067195124,-0.027336199,96.18751,69.3,96.693756,watch_1
12302069341962,1.6797615,3.635894,9.151948,-0.02443459,-0.0067195124,-0.027336199,96.28126,70.3125,96.01875,watch_1
12302085663889,1.6797615,3.635894,9.151948,-0.02443459,-0.0067195124,-0.027336199,96.28126,70.3125,96.01875,watch_1
12302095663837,1.6797615,3.635894,9.151948,-0.02443459,-0.0067195124,-0.027336199,97.51875,69.506256,95.231255,watch_1
12302093378733,1.6893328,3.5306098,8.946166,-0.07574723,-0.0140498895,-0.022449281,97.51875,69.506256,95.231255,watch_1
12302088415973,1.6893328,3.5306098,8.946166,-0.07574723,-0.0140498895,-0.022449281,97.51875,69.506256,95.231255,watch_1
12302105663785,1.6893328,3.5306098,8.946166,-0.07574723,-0.0140498895,-0.022449281,97.12501,68.11875,97.631256,watch_1
12302115663733,1.6893328,3.5306098,8.946166,-0.07574723,-0.0140498895,-0.022449281,97.18125,70.275,96.262505,watch_1
12302112451702,1.6414764,3.229114,8.883952,-0.04886918,-0.009162972,-0.018784093,97.18125,70.275,96.262505,watch_1
12302107488941,1.6414764,3.229114,8.883952,-0.04886918,-0.009162972,-0.018784093,97.18125,70.275,96.262505,watch_1
12302125663681,1.6414764,3.229114,8.883952,-0.04886918,-0.009162972,-0.018784093,95.700005,70.70625,93.731255,watch_1
12302135663629,1.6414764,3.229114,8.883952,-0.04886918,-0.009162972,-0.018784093,96.318756,70.59375,96.0,watch_1
12302131525712,1.5696917,3.1525438,8.883952,-0.04886918,-0.009162972,-0.018784093,96.318756,70.59375,96.0,watch_1
12302126562952,1.5696917,3.1525438,8.883952,0.06108648,0.0006108648,-0.032223117,96.037506,69.76875,93.8625,watch_1
12302145663577,1.5696917,3.1525438,8.883952,0.06108648,0.0006108648,-0.032223117,96.037506,69.76875,93.8625,watch_1
12302155663525,1.5696917,3.1525438,8.883952,0.06108648,0.0006108648,-0.032223117,95.0625,70.350006,93.693756,watch_1
12302150598733,1.564906,3.4444683,9.037093,0.16737695,0.0042760535,-0.04444041,95.0625,70.350006,93.693756,watch_1
12302145635973,1.564906,3.4444683,9.037093,0.16737695,0.0042760535,-0.04444041,95.0625,70.350006,93.693756,watch_1
12302165663473,1.564906,3.4444683,9.037093,0.16737695,0.0042760535,-0.04444041,95.4375,66.4875,97.6125,watch_1
12302175663421,1.564906,3.4444683,9.037093,0.16737695,0.0042760535,-0.04444041,96.318756,69.1875,95.850006,watch_1
12302164678941,1.5601203,3.674179,9.156734,0.13439025,-0.0018325944,-0.046883874,96.318756,69.1875,95.850006,watch_1
12302169641702,1.5601203,3.674179,9.156734,0.13439025,-0.0018325944,-0.046883874,95.0625,68.90625,94.55625,watch_1
12302185663368,1.5601203,3.674179,9.156734,0.13439025,-0.0018325944,-0.046883874,95.0625,68.90625,94.55625,watch_1
12302195663316,1.5601203,3.674179,9.156734,0.13439025,-0.0018325944,-0.046883874,95.025,68.475006,95.043755,watch_1
12302188714723,1.5984055,3.7459638,9.008379,0.0036651888,-0.0030543238,-0.038331766,95.025,68.475006,95.043755,watch_1
12302183751962,1.5984055,3.7459638,9.008379,0.0036651888,-0.0030543238,-0.038331766,95.025,68.475006,95.043755,watch_1
12302205663264,1.5984055,3.7459638,9.008379,0.0036651888,-0.0030543238,-0.038331766,96.131256,70.78125,93.3375,watch_1
